text,true_label,predicted_label
rt  there might be a couple cotton pickers on the spurs but they all play unselfish white man basketball,0,2
 johans a free agent harveys hurt you retard. and its valverde* ,1,0
 ms. martinez fuckin with the cripple kid?!,1,0
"rt  jammer just said to me he thought ""mustard on the beat ho"" was saying ""abdullah on the beat"" this whole time loooooool",1,2
 my nicca,1,2
bill smith dds mtv odb lgbtq mma nfl aflcio bitch pick one. fucking hate you. i know you proud but shit.,0,1
rt  espn has jason whitlock on pti ass kissing for mister charlie to justify the bullshit the eagles did to d. jackson,1,2
 ight nigga tonight at g oo c burg mall bitch,1,0
 so ai niccas be tryn talk like me,1,2
 honestly fuck whoever agreed with this bitch ass nigga your never going to get to tupac level,1,0
 so4 bitch who scarry am not backing down from no fuck nigga the fuck you talking bout hoe ass nigga stop dat talking and pull up,1,0
    avila i just noticed you guys called me a jiggaboo,2,1
the giants trash,2,0
"run that nigga, you don't want that nigga, but i need a bad bitch that's hotter than me",1,0
when your nigga passes you a hoe http //t.co/ituspiwvoi,1,0
rt   me waiting on you to take me to ny with you to get my nips pierced &;&;&;&;,2,1
  petrie22 yeah nigga i get bitches and matt's fucking gay as shit,1,0
  joe alqueda doesn't use cell phones or the internet? wow you  are stupid,1,2
"' i just feel like my mouthpiece so cold &; i'll give lessons to every niggah that ever got turned down , for the low cost of s24.gg &; hmu .",1,0
" ma'am ...did you clear that tweet with the  ? careful they may brand you ""race traitor"" for the nerve of thinking&;&;",2,0
rt  if i ride up to your bitch in these then...homie consider yourself a single nigga . http //t.co/rjaiohrphw,1,0
i hate dumb bitches,0,1
 i'll come rape your wife bitch boy,1,0
"""this is for all the fans that waited, the bitch niggas that hated / old hoes we dated, look mama, we&; http //t.co/snry6a7vyb",1,0
watch the blacks and whiggers cry http //t.co/emluwbbogw,1,2
 leeggg  eg chatt niccas love doin dat brah,1,2
if you a hoe ima treat you like one just like if you're a good girl ima treat you like one. i don't discriminate,2,1
"rt  &;&; fec may yank ist amendment guards for drudge, rest of internet  //t.co/pvesnnaokv ",2,0
   you can tease this dick faggot,1,0
 chink eyed !,0,2
 yea thats what i thought pussy boy u r a fucking thot,1,0
"rt  a nigga can like one pic &amp; u bitches ""s/o to showing love"".... bitch kill yoself",1,0
dont call me a nigguh unless u call me my nigguh,1,0
"""@ simplycaitlin why do my friends hate me"" because you a ratchet hoe..",1,0
 use coconut oil faggot,1,0
"chasing these hoes, better get cash nigga",0,1
" translation ""i like how i dont really have to think about it"" or ""i dont think queers deserve a happy ending""",1,0
 times omg my mom did it on christmas once if i hadn't been the hostess that year i would've slit her throat,1,2
"if you're not directly descended from european royalty and upper nobility, then you're not fully human. you're just common gutter trash.",2,0
 she's a cunt,0,1
 you like men faggot.,1,0
damn it be cold fo a colored man,2,0
" hey! i'm still on lambdamoo. (and it really is empty, nobody to talk to except that asshole bird...)",1,2
rt  business rt  my chest rt  kobe getting docked iook for calling ref a faggot rt  what do y'all co&;,1,0
"rt  where are they now fads doc martens -enjoying anal sex girbaud -posers, wiggers, fake bangers. now accountants jncos -domin&;",1,0
she dont wanna fuck me she wanna fuck my wrist.. tell her like young dro fuck dat bitch!,1,0
""" overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day.",2,1
 beam26 text me fag,1,0
today's spy ops ( sexy smooth soles. they would feel good on shaft and balls. love the grass stains on the other ) http //t.co/jokcejqdoj,1,2
seeing elder queer couples marry really is emotional. they get to live their final years with equality and with dignity.,1,0
 @ triggaplease   @ shayisdabomb  they can see this dumbass nigger,1,0
you niggas puttin bitches you haven't even fucked yet on a pedestal. scratch her off your hit list b. you ain't never hittin that.,1,0
when my right hand get out niggas gon remember why we tru loyal pussy,1,0
 nigga you beat who ass bitch we've never even fought so u need to stop making up shit and bring yo ass with them,1,0
stupid teacher talks to  like he's retarded,2,0
people be shooting their guns around here late as fuck got me thinking they tryna shoot my black ass 4 jammin jiggaboo music,1,0
"do you have a nickname? what is it? &; tator, tator tot, tightey whitey, whitey jr, taylor whitey pants, agent ti... http //t.co/xlbhdjfbf4",2,0
 q.u.e.e.n. and reminded i still don't get why janelle monae is so perplexed that people think she's queer...,1,0
" her face ugly to me, &amp; her nudes were trash.",2,0
  bitch you watch your fucking mouth you dirty whore. i swear to god that's a thin line,0,1
rt   fuck you up fucking skank ass cunt,1,0
 didnt you propose the brilliant idea of college students packing heat? you are a savant!  teabaggers,1,2
these niggas pillow talkin thats hoe shit,1,0
  hrbek  fuck olive that bitch,1,0
"i) rt    no i'm not crossed eyed, i'm albino. can't control that",2,0
they're calling it  because the wind is going to make a lot girls clams really sandy,1,2
"""  i didn't say anything tho"" kiss me then faggot",1,0
@ renaissancejay nigga stop hatin bitches be feelin coolio b. n two if u think dem bitch made niggas got yo back u smokin big worm shit,1,0
you fags hyped that shit up so much and i listen to it... everything is garbage,1,0
yes good shapely eurotrash manbooty,1,2
"some guy said i was wearing leggings and laughed and called me a fag. they're jeggings, asshole.",1,0
" fake pics http //t.co/jtwuugcysr get off my tl, u r dismissed muzzie.    i ",2,1
u got niggas an i got bitches &;,1,0
rainbow flag gay people should be respected.,2,0
 but niggas is bitches tho rt  boy niggaz b so bitch made u cud kiss em n da mouth!!,1,0
"niggas wait in line for jordan releases, puttin they life on the line, jus to impress some bitches",1,0
"rt  go fight against the idf if you progressive trash hate them so much, you don't have the guts to do it. &;",2,0
 this nigga &;&;.. know damn well you a coon,1,0
 idk you into mouthy spics on welfare with 6 kids and e baby daddy's?,0,1
s/o to my ace boon  doe one of the few of the real girls on campus!! ,1,2
"rt  mizzeio  why do you call most guys that talk shit to you ""fags"" then? you should use another word hypocrite.",1,0
them squirrels are faggots b rt   ? http //t.co/7xwopey2,1,0
"""these sour apple bitter bitches, i'm not fuckin wit em""",0,1
 fag*,1,0
. really does talk like a buck nigger,1,0
" lol @ all the kids that act ""redneck"" in oviedo",1,0
what was that knob to get shit back in focus when it started getting fuzzy?,1,2
" jason   smithgb no am just letting you what's going to happen, am not like u pussy ass niggas from plano",1,0
dumb bitch  //t.co/we46woisni,0,1
i hate fat bitches,0,1
" lol find a ""redneck"" from oakleaf to take you",2,0
these bitches dead be sucking and fucking niggaz with no condom...then wanna rock a whitw dress the next day like bout dem clean,1,0
" pitch, chip and slide ur dick in tight clam  love it ",1,0
 this look more like your little baby son of a bitch. http //t.co/gosbct7ue7,1,0
"rt  ran outside mullet flowin', nips shown'. shotgunned a cold one and yelled, ""saturday, welcome back you sexy beast. mer&;",2,1
 jetson hoe ass nigga. &;,1,0
"rt  . jay; i think once someone has alzheimer's, suffers from alcoholism and is mildly retarded, people shouldn't mak&;",2,0
you niggers cheat on ya gf's? smh....,1,0
 forgot someone niglet,1,0
 lol damn. just thought i'd let you know. my dad was going super saiyan ape shit.,1,2
